Metric,Category,Clean Baseline,Base Model (Attacked),Updated Model (Ours),Absolute Diff,Relative Improvement (%),Higher is Better,Outcome,Attack,NoiseRate
nDCG@10,Ranking Accuracy,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,agas,0.2
RMSE-PC (Calibration Error),Popularity Calibration,0.05769702550578303,0.297261495203696,0.060532960659348406,-0.23672853454434759,79.63646094901438,False,🟢 WIN (+),agas,0.2
MRMC (Rank Miscalibration),Popularity Calibration,0.16860196201011068,0.6175980602735359,0.17943787267024816,-0.4381601876032878,70.94584905419318,False,🟢 WIN (+),agas,0.2
APLT@10 (Long-Tail %),Fairness & Discovery,0.8433333333333334,0.5,0.8486666666666668,0.3486666666666668,69.73333333333336,True,🟢 WIN (+),agas,0.2
LTC@10 (Catalog Coverage),Fairness & Discovery,0.005570117955439056,0.002618657937806874,0.005570117955439056,0.002951460017632182,112.70887942332894,True,🟢 WIN (+),agas,0.2
Entropy (Exposure Spread),Fairness & Discovery,0.8755328140588582,0.8971498180675204,0.8668234766395905,-0.030326341427929893,-3.3802984537469416,True,🔴 LOSS (-),agas,0.2
Novelty (Self-Information bits),Fairness & Discovery,10.76032554196236,10.547340759243884,10.820755237420302,0.2734144781764183,2.5922598351323085,True,🟢 WIN (+),agas,0.2
GKPI (Holistic Harmonic Metric),Overall Performance,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,agas,0.2
ΔGKPI (Attack Degradation %),Adversarial Robustness,,0.0,0.0,0.0,0.0,False,⚪ PAR,agas,0.2
CSS (Calibration Stability Score),Adversarial Robustness,,0.23956446969791295,0.0028359351535653735,-0.23672853454434759,98.81621212146298,False,🟢 WIN (+),agas,0.2
Denoising Detection F1,Adversarial Robustness,,0.9980417754569191,0.9744613015050553,-0.0235804739518638,-2.36267404148171,True,🔴 LOSS (-),agas,0.2
Denoising Detection ROC-AUC,Adversarial Robustness,,1.0,0.6861034339683678,-0.3138965660316322,-31.389656603163218,True,🔴 LOSS (-),agas,0.2
